origin,destination,departure_date,return_date,airline,cabin_class,adults,children,infants,stops,trip_type,currency,flight_duration_minutes,departure_hour,arrival_hour,price,price_usd
ORD,JFK,2026-10-04,2026-10-07,BA,BUSINESS,1,0,0,0,ROUND_TRIP,GBP,113,14,15,7034.14,8933.36
DXB,BOM,2027-04-14,,WN,ECONOMY,2,0,0,1,ONE_WAY,SGD,358,16,21,1237.48,915.74
BAH,DEL,2027-03-29,2027-04-08,SQ,FIRST,1,0,0,0,ROUND_TRIP,USD,548,19,4,7215.17,7215.17
CCU,ORD,2027-06-20,2027-06-29,KL,BUSINESS,2,0,0,0,ROUND_TRIP,EUR,121,22,0,10023.83,10825.74
NRT,DPS,2026-11-08,,MH,ECONOMY,1,0,0,2,ONE_WAY,INR,423,14,21,373.62,4.48
CDG,MCT,2027-02-26,2027-03-25,EK,BUSINESS,1,1,0,2,ROUND_TRIP,USD,360,8,14,11926.87,11926.87
FRA,MNL,2027-06-04,,TG,ECONOMY,2,0,0,2,ONE_WAY,EUR,667,19,6,1123.64,1213.53
DFW,MEL,2026-10-12,,KL,BUSINESS,1,0,0,2,ONE_WAY,USD,716,18,5,2830.76,2830.76
DXB,JFK,2027-02-16,,AF,ECONOMY,2,1,1,0,ONE_WAY,USD,237,21,0,2635.19,2635.19
DPS,LHR,2027-04-04,,UK,ECONOMY,1,2,0,1,ONE_WAY,EUR,506,4,12,1146.21,1237.91
MAD,AUH,2027-08-10,2027-08-31,GA,PREMIUM_ECONOMY,2,0,1,0,ROUND_TRIP,INR,428,15,22,5539.62,66.48
DFW,BLR,2026-11-13,2026-12-13,BA,ECONOMY,4,0,0,2,ROUND_TRIP,INR,784,15,4,8255.47,99.07
MIA,FCO,2027-03-02,,TG,BUSINESS,1,0,0,0,ONE_WAY,USD,329,12,17,1602.15,1602.15
BAH,MEL,2027-07-15,,AF,ECONOMY,3,0,1,0,ONE_WAY,INR,546,5,14,2507.61,30.09
DXB,KUL,2027-06-04,2027-06-10,MH,ECONOMY,3,0,0,0,ROUND_TRIP,USD,263,21,1,7240.97,7240.97
SIN,DOH,2026-10-29,2026-11-21,6E,ECONOMY,1,2,0,1,ROUND_TRIP,USD,738,23,11,2324.02,2324.02
CDG,HYD,2027-07-23,,UK,ECONOMY,4,0,0,1,ONE_WAY,GBP,608,21,7,4913.93,6240.69
DFW,AMS,2026-08-25,,SQ,PREMIUM_ECONOMY,1,0,0,1,ONE_WAY,USD,754,18,6,3426.62,3426.62
MEL,CGK,2026-10-17,,WY,PREMIUM_ECONOMY,1,2,0,0,ONE_WAY,EUR,634,3,13,3259.34,3520.09
ICN,KWI,2027-06-09,,AF,BUSINESS,2,1,0,1,ONE_WAY,EUR,267,17,21,11532.79,12455.41
PNQ,LHR,2026-10-18,,TG,BUSINESS,1,0,0,0,ONE_WAY,EUR,628,18,4,1407.86,1520.49
FRA,HYD,2027-01-14,,SG,FIRST,2,0,1,0,ONE_WAY,USD,342,1,6,2931.87,2931.87
NRT,MAD,2027-05-02,,TG,ECONOMY,1,2,1,1,ONE_WAY,EUR,448,6,13,3044.66,3288.23
CDG,HYD,2027-06-28,2027-07-14,EY,ECONOMY,1,0,0,0,ROUND_TRIP,USD,543,2,11,3044.1,3044.1
FRA,AMS,2026-11-26,,AF,PREMIUM_ECONOMY,4,0,1,0,ONE_WAY,EUR,380,2,8,6151.99,6644.15
BAH,DFW,2026-08-27,2026-09-18,DL,PREMIUM_ECONOMY,1,0,1,1,ROUND_TRIP,GBP,514,7,15,4876.95,6193.73
AMS,PNQ,2026-12-07,,UA,ECONOMY,2,0,0,0,ONE_WAY,USD,455,8,15,1639.26,1639.26
LHR,MIA,2027-02-08,,UK,BUSINESS,3,0,0,0,ONE_WAY,EUR,118,22,23,2198.3,2374.16
MAD,MEL,2027-05-13,2027-06-02,WY,PREMIUM_ECONOMY,4,0,0,1,ROUND_TRIP,USD,509,19,3,17659.11,17659.11
DXB,AMS,2027-07-07,2027-07-21,AI,PREMIUM_ECONOMY,1,0,0,2,ROUND_TRIP,GBP,448,22,5,3911.16,4967.17
CDG,SIN,2026-12-09,,MH,ECONOMY,1,0,1,1,ONE_WAY,USD,214,9,12,1722.0,1722.0
SFO,ZRH,2027-04-23,,SG,PREMIUM_ECONOMY,1,0,0,0,ONE_WAY,USD,485,0,8,815.66,815.66
SIN,NRT,2026-11-19,,GA,ECONOMY,2,0,0,0,ONE_WAY,GBP,332,23,4,585.83,744.0
LAX,CDG,2026-11-08,2026-12-02,GA,PREMIUM_ECONOMY,4,0,0,1,ROUND_TRIP,AUD,751,16,4,15140.02,9841.01
LHR,KWI,2027-02-03,,SG,ECONOMY,1,0,0,2,ONE_WAY,USD,791,21,10,665.33,665.33
PNQ,FCO,2027-07-09,,GF,ECONOMY,2,0,1,2,ONE_WAY,USD,493,16,0,1330.64,1330.64
HYD,CGK,2026-11-17,,WN,BUSINESS,1,0,0,0,ONE_WAY,USD,658,12,22,1439.08,1439.08
BAH,CCU,2027-03-04,,AA,ECONOMY,1,0,0,0,ONE_WAY,USD,522,11,19,1141.27,1141.27
ORD,BKK,2026-08-16,,EK,ECONOMY,2,0,0,1,ONE_WAY,AUD,496,11,19,4010.26,2606.67
BAH,FCO,2026-12-28,,6E,ECONOMY,1,0,1,2,ONE_WAY,USD,299,3,7,863.13,863.13
MNL,MEL,2027-03-01,2027-03-08,LX,BUSINESS,2,1,0,2,ROUND_TRIP,USD,462,3,10,11171.51,11171.51
LAX,NRT,2027-01-09,,AI,BUSINESS,1,2,0,1,ONE_WAY,GBP,281,9,13,6066.06,7703.9
CCU,BKK,2027-07-21,2027-08-19,QR,PREMIUM_ECONOMY,1,0,0,1,ROUND_TRIP,USD,289,13,17,4792.78,4792.78
AMD,NRT,2026-11-20,2026-11-27,WN,ECONOMY,2,0,0,0,ROUND_TRIP,EUR,580,13,22,1187.29,1282.27
BAH,CCU,2027-03-20,,6E,ECONOMY,4,0,0,0,ONE_WAY,INR,522,20,4,3032.23,36.39
AMS,ORD,2027-04-12,,MH,ECONOMY,1,0,0,0,ONE_WAY,USD,126,8,10,524.94,524.94
AMD,BKK,2026-10-19,,EK,ECONOMY,1,0,0,1,ONE_WAY,USD,661,10,21,1309.27,1309.27
DPS,NRT,2026-10-14,2026-10-18,WN,ECONOMY,1,1,0,1,ROUND_TRIP,USD,433,18,1,1097.21,1097.21
BAH,MCT,2027-05-14,,MH,ECONOMY,2,0,0,1,ONE_WAY,SGD,237,23,2,1152.9,853.15
SYD,FRA,2026-09-17,2026-10-05,PR,BUSINESS,3,0,0,2,ROUND_TRIP,AUD,715,13,0,21510.24,13981.66
HKG,BOM,2027-03-05,2027-03-23,EK,ECONOMY,1,0,0,1,ROUND_TRIP,USD,224,21,0,1795.26,1795.26
DOH,KUL,2027-06-13,2027-07-08,PR,ECONOMY,2,0,0,1,ROUND_TRIP,USD,717,0,11,1465.11,1465.11
HKG,KUL,2026-09-06,,AA,PREMIUM_ECONOMY,1,1,0,0,ONE_WAY,USD,530,17,1,4359.23,4359.23
AMS,DXB,2027-07-03,,WY,BUSINESS,4,0,0,1,ONE_WAY,AUD,734,19,7,12528.02,8143.21
ZRH,CCU,2026-08-19,,MH,BUSINESS,3,0,1,1,ONE_WAY,USD,195,11,14,15881.31,15881.31
FRA,BOM,2026-12-23,2027-01-22,UA,PREMIUM_ECONOMY,2,1,0,2,ROUND_TRIP,SGD,373,20,2,5742.73,4249.62
SYD,MCT,2027-03-24,,IB,ECONOMY,3,1,0,0,ONE_WAY,EUR,415,11,17,1571.38,1697.09
KWI,CGK,2026-11-12,,EK,BUSINESS,4,0,0,0,ONE_WAY,EUR,495,12,20,8665.44,9358.68
BAH,MAA,2026-08-20,,IX,ECONOMY,4,0,0,1,ONE_WAY,AED,213,19,22,5139.7,1398.0
DEL,BLR,2026-10-07,,IX,ECONOMY,2,0,1,2,ONE_WAY,USD,389,17,23,790.19,790.19
JFK,CCU,2027-05-19,2027-06-13,EY,ECONOMY,3,0,0,0,ROUND_TRIP,AED,211,8,11,2225.19,605.25
HYD,PNQ,2026-10-28,,UA,ECONOMY,1,2,0,1,ONE_WAY,INR,718,11,22,2948.11,35.38
MAD,LHR,2027-01-05,2027-01-19,TG,ECONOMY,1,0,0,0,ROUND_TRIP,INR,541,2,11,1087.61,13.05
CCU,HYD,2027-06-29,,WN,ECONOMY,1,0,0,1,ONE_WAY,USD,653,9,19,813.52,813.52
AMD,MAD,2026-10-29,2026-11-25,LX,PREMIUM_ECONOMY,2,0,0,2,ROUND_TRIP,INR,416,20,2,4405.52,52.87
CGK,MAA,2027-01-24,2027-02-11,UK,ECONOMY,1,2,0,0,ROUND_TRIP,USD,241,13,17,1693.28,1693.28
SFO,JFK,2026-12-09,2026-12-24,IX,BUSINESS,1,0,0,1,ROUND_TRIP,USD,675,2,13,2431.27,2431.27
LHR,CCU,2027-02-08,,QR,ECONOMY,1,0,0,0,ONE_WAY,AED,318,11,16,1052.34,286.24
DXB,FCO,2026-10-23,2026-10-29,IB,ECONOMY,3,0,0,0,ROUND_TRIP,AUD,385,22,4,3380.26,2197.17
SIN,ORD,2026-09-23,2026-10-03,6E,PREMIUM_ECONOMY,3,1,0,0,ROUND_TRIP,USD,235,2,5,9790.72,9790.72
MEL,SFO,2027-03-29,,IX,BUSINESS,2,2,0,1,ONE_WAY,USD,194,20,23,5797.36,5797.36
BLR,HYD,2026-12-24,,WN,BUSINESS,3,0,0,1,ONE_WAY,USD,597,18,3,5491.05,5491.05
FCO,LHR,2026-09-11,,KL,BUSINESS,1,2,0,1,ONE_WAY,USD,255,7,11,8574.13,8574.13
SYD,MAA,2026-11-21,,MH,ECONOMY,3,0,0,1,ONE_WAY,GBP,520,8,16,1459.32,1853.34
AMD,MAA,2027-01-19,2027-01-28,LH,PREMIUM_ECONOMY,1,0,0,1,ROUND_TRIP,USD,694,17,4,4988.0,4988.0
AMS,CCU,2027-02-12,2027-03-11,DL,ECONOMY,1,0,1,0,ROUND_TRIP,INR,241,9,13,2624.21,31.49
HKG,BAH,2026-10-04,2026-10-23,BA,BUSINESS,2,0,0,1,ROUND_TRIP,AUD,710,4,15,9033.49,5871.77
DPS,HYD,2027-07-28,2027-08-20,GF,ECONOMY,2,2,0,0,ROUND_TRIP,USD,190,4,7,7272.9,7272.9
DOH,NRT,2027-06-29,2027-07-29,AA,FIRST,2,0,0,0,ROUND_TRIP,EUR,283,13,17,13876.06,14986.14
DFW,CDG,2027-01-19,2027-02-08,EY,FIRST,2,2,0,0,ROUND_TRIP,SGD,82,2,3,15054.17,11140.09
AMD,CGK,2027-04-06,,BA,ECONOMY,2,0,0,1,ONE_WAY,USD,177,8,10,2800.39,2800.39
BKK,DXB,2027-03-27,,UK,FIRST,1,0,0,1,ONE_WAY,USD,263,11,15,4103.75,4103.75
ZRH,DFW,2026-12-17,,SG,PREMIUM_ECONOMY,3,0,0,1,ONE_WAY,USD,433,22,5,3416.77,3416.77
AMD,FCO,2027-07-08,,AF,ECONOMY,1,0,0,1,ONE_WAY,USD,310,17,22,736.07,736.07
KUL,AMD,2027-02-05,,SG,ECONOMY,1,0,0,0,ONE_WAY,SGD,375,19,1,590.66,437.09
PNQ,MAD,2027-02-24,,IB,ECONOMY,2,0,0,1,ONE_WAY,EUR,666,1,12,714.59,771.76
ORD,BKK,2026-10-25,,LX,ECONOMY,2,0,0,0,ONE_WAY,USD,380,2,8,1456.32,1456.32
BKK,SFO,2027-01-13,2027-01-21,AA,ECONOMY,1,1,0,2,ROUND_TRIP,USD,277,6,10,2308.09,2308.09
SFO,MNL,2027-05-28,2027-06-25,LX,ECONOMY,1,2,0,1,ROUND_TRIP,SGD,369,19,1,3724.58,2756.19
AUH,JFK,2026-10-28,2026-11-15,TG,FIRST,2,0,0,1,ROUND_TRIP,INR,603,10,20,11622.22,139.47
SFO,FRA,2026-09-01,2026-09-10,AA,PREMIUM_ECONOMY,3,0,0,1,ROUND_TRIP,SGD,276,23,3,9486.46,7019.98
DOH,MIA,2027-01-18,2027-02-06,EY,ECONOMY,2,0,0,0,ROUND_TRIP,AUD,307,3,8,1105.15,718.35
MNL,KUL,2027-03-21,,KL,ECONOMY,2,1,0,0,ONE_WAY,EUR,486,11,19,1321.01,1426.69
SIN,DFW,2026-09-27,2026-10-25,GF,BUSINESS,1,0,1,2,ROUND_TRIP,EUR,646,3,13,3182.85,3437.48
BOM,SIN,2027-01-09,2027-02-08,UK,ECONOMY,1,0,0,0,ROUND_TRIP,AED,206,13,16,1567.36,426.32
DFW,PNQ,2027-03-04,2027-03-07,EY,BUSINESS,2,0,1,1,ROUND_TRIP,USD,562,11,20,15475.12,15475.12
LHR,NRT,2027-03-14,2027-03-18,GF,ECONOMY,3,2,0,0,ROUND_TRIP,USD,436,0,7,5793.8,5793.8
NRT,ZRH,2026-09-09,2026-10-07,BA,ECONOMY,2,0,0,0,ROUND_TRIP,EUR,212,18,21,5196.19,5611.89
DXB,MIA,2027-07-03,2027-07-24,GA,ECONOMY,1,0,0,1,ROUND_TRIP,EUR,186,12,15,2196.67,2372.4
SYD,DOH,2026-09-23,,BA,ECONOMY,2,0,0,1,ONE_WAY,EUR,533,18,2,1286.5,1389.42
BOM,AUH,2027-02-23,2027-03-22,IB,PREMIUM_ECONOMY,2,0,0,1,ROUND_TRIP,USD,661,8,19,4849.52,4849.52
AUH,BOM,2026-11-14,2026-11-19,SQ,FIRST,4,0,0,0,ROUND_TRIP,USD,607,2,12,23298.54,23298.54
ORD,MCT,2027-01-21,2027-02-13,AF,ECONOMY,1,0,0,1,ROUND_TRIP,EUR,621,14,0,1726.83,1864.98
KWI,DPS,2026-11-03,,SQ,PREMIUM_ECONOMY,4,0,0,1,ONE_WAY,AUD,586,16,1,8072.11,5246.87
FRA,PNQ,2026-08-29,,EY,PREMIUM_ECONOMY,2,0,0,2,ONE_WAY,EUR,694,10,21,1504.56,1624.92
DXB,MAD,2027-05-03,2027-05-18,WY,ECONOMY,2,0,0,1,ROUND_TRIP,USD,587,6,15,4432.95,4432.95
KWI,MCT,2026-11-27,2026-12-23,TG,BUSINESS,1,1,0,0,ROUND_TRIP,SGD,604,15,1,16058.76,11883.48
AMS,JFK,2026-08-31,,WN,ECONOMY,1,1,0,1,ONE_WAY,USD,713,16,3,1255.68,1255.68
DPS,SFO,2027-03-21,2027-04-18,GF,PREMIUM_ECONOMY,2,0,0,1,ROUND_TRIP,SGD,602,5,15,5979.76,4425.02
ORD,DFW,2026-12-11,,IX,BUSINESS,1,0,0,1,ONE_WAY,USD,723,17,5,4533.62,4533.62
DFW,MAD,2027-06-03,,WN,ECONOMY,2,2,0,1,ONE_WAY,EUR,408,20,2,862.24,931.22
ZRH,BAH,2027-06-12,,EY,ECONOMY,1,0,0,1,ONE_WAY,USD,632,12,22,1347.23,1347.23
MEL,BOM,2026-09-01,2026-09-21,GF,ECONOMY,1,0,0,2,ROUND_TRIP,EUR,456,16,23,1329.96,1436.36
CGK,AMD,2027-03-03,,KL,PREMIUM_ECONOMY,1,0,0,1,ONE_WAY,INR,409,9,15,1837.61,22.05
KUL,HKG,2026-10-06,,SQ,FIRST,2,0,0,0,ONE_WAY,USD,503,10,18,16477.34,16477.34
DOH,CCU,2026-09-05,2026-09-11,EY,PREMIUM_ECONOMY,2,0,0,0,ROUND_TRIP,INR,443,1,8,2748.62,32.98
FCO,MAA,2026-10-17,2026-10-30,WY,ECONOMY,1,0,0,1,ROUND_TRIP,INR,560,4,13,1683.22,20.2
SFO,KUL,2026-12-07,,TG,ECONOMY,2,2,0,1,ONE_WAY,EUR,632,2,12,3532.7,3815.32
MAD,CCU,2026-09-13,2026-09-22,LH,ECONOMY,2,0,0,2,ROUND_TRIP,GBP,702,0,11,2071.95,2631.38
BAH,HKG,2027-07-15,2027-07-22,UK,ECONOMY,2,0,1,1,ROUND_TRIP,INR,587,16,1,1270.5,15.25
DXB,CDG,2027-07-31,,LH,ECONOMY,1,0,0,1,ONE_WAY,GBP,472,9,16,1772.08,2250.54
AUH,CGK,2026-12-27,,UK,PREMIUM_ECONOMY,1,0,0,1,ONE_WAY,AED,621,3,13,458.42,124.69
SYD,CCU,2027-07-12,,LH,ECONOMY,2,0,0,0,ONE_WAY,EUR,287,12,16,1986.0,2144.88
BAH,SFO,2026-12-04,,EK,ECONOMY,1,0,0,2,ONE_WAY,EUR,434,3,10,1769.02,1910.54
HYD,DPS,2026-12-04,,WY,ECONOMY,3,0,0,0,ONE_WAY,USD,314,23,4,4030.62,4030.62
MCT,DOH,2027-04-15,,EY,ECONOMY,2,0,0,1,ONE_WAY,EUR,296,23,3,721.36,779.07
CDG,DOH,2026-08-24,,BA,PREMIUM_ECONOMY,1,2,0,1,ONE_WAY,USD,717,5,16,3809.25,3809.25
DEL,ORD,2026-12-08,,LX,ECONOMY,1,1,0,2,ONE_WAY,USD,830,16,5,3100.46,3100.46
DOH,AUH,2027-04-20,,PR,ECONOMY,1,1,1,0,ONE_WAY,INR,74,8,9,679.05,8.15
FCO,LAX,2026-08-24,2026-08-31,AA,BUSINESS,2,0,0,1,ROUND_TRIP,AED,756,13,1,27087.48,7367.79
LHR,AUH,2027-02-23,,LH,ECONOMY,4,0,0,0,ONE_WAY,INR,272,20,0,4429.81,53.16
ICN,BKK,2026-11-19,2026-11-23,AA,ECONOMY,1,0,1,0,ROUND_TRIP,USD,446,18,1,2975.72,2975.72
JFK,PNQ,2026-10-28,2026-11-14,KL,BUSINESS,1,0,0,2,ROUND_TRIP,INR,614,21,7,4600.04,55.2
SYD,DOH,2027-04-21,,GF,ECONOMY,1,0,0,0,ONE_WAY,USD,449,9,16,714.3,714.3
SIN,LAX,2027-05-28,,TG,BUSINESS,3,1,0,2,ONE_WAY,USD,556,4,13,10576.28,10576.28
BAH,BKK,2027-03-06,,DL,BUSINESS,4,0,0,0,ONE_WAY,USD,215,3,6,8112.35,8112.35
FRA,ZRH,2026-10-22,2026-11-07,WN,ECONOMY,1,0,0,0,ROUND_TRIP,GBP,326,17,22,1020.7,1296.29
MEL,KUL,2027-07-30,2027-08-24,UA,ECONOMY,1,0,0,1,ROUND_TRIP,INR,398,11,17,1729.19,20.75
LAX,BKK,2027-06-24,,IB,ECONOMY,2,2,0,1,ONE_WAY,USD,287,9,13,4544.19,4544.19
DXB,SYD,2027-05-06,,DL,BUSINESS,1,0,0,1,ONE_WAY,INR,616,14,0,1221.27,14.66
BLR,AMD,2026-09-14,2026-09-20,6E,ECONOMY,2,1,0,1,ROUND_TRIP,USD,600,23,9,1805.33,1805.33
BLR,LHR,2027-01-20,2027-02-15,AA,ECONOMY,1,0,0,0,ROUND_TRIP,EUR,209,0,3,2281.25,2463.75
MNL,BAH,2027-04-29,,UK,ECONOMY,2,0,0,0,ONE_WAY,AED,252,14,18,1855.65,504.74
MIA,MNL,2027-03-23,2027-03-30,EK,BUSINESS,3,0,0,1,ROUND_TRIP,EUR,707,20,7,33871.12,36580.81
KWI,AUH,2027-06-11,,GA,PREMIUM_ECONOMY,2,0,0,1,ONE_WAY,INR,451,15,22,4356.02,52.27
AMD,CGK,2027-07-13,,KL,BUSINESS,1,0,0,0,ONE_WAY,USD,87,21,22,3785.25,3785.25
BKK,HYD,2027-04-28,,LH,FIRST,1,2,0,2,ONE_WAY,INR,248,6,10,7208.69,86.5
HKG,MAA,2027-07-17,,EK,PREMIUM_ECONOMY,1,1,0,0,ONE_WAY,INR,602,9,19,4993.6,59.92
MIA,MAA,2026-12-24,2026-12-31,SQ,ECONOMY,1,1,0,1,ROUND_TRIP,GBP,496,22,6,5257.99,6677.65
DPS,MIA,2026-12-10,2027-01-06,SG,ECONOMY,1,0,1,1,ROUND_TRIP,USD,305,23,4,665.38,665.38
CDG,AMD,2026-09-20,,EK,PREMIUM_ECONOMY,4,0,0,0,ONE_WAY,AUD,642,14,0,5768.03,3749.22
BOM,BAH,2027-07-27,,BA,ECONOMY,2,0,0,1,ONE_WAY,USD,670,9,20,1230.39,1230.39
BAH,DOH,2026-10-24,2026-10-27,KL,BUSINESS,2,0,0,0,ROUND_TRIP,USD,498,11,19,8018.7,8018.7
MAA,LAX,2027-04-27,2027-05-11,EK,PREMIUM_ECONOMY,2,0,0,1,ROUND_TRIP,INR,197,11,14,8783.17,105.4
SYD,DXB,2027-04-26,2027-05-06,SG,ECONOMY,2,0,0,0,ROUND_TRIP,AED,60,1,2,1686.6,458.76
MAD,FRA,2027-06-22,,AF,PREMIUM_ECONOMY,4,0,0,2,ONE_WAY,AED,333,16,21,2565.88,697.92
MIA,BLR,2026-12-25,,UA,PREMIUM_ECONOMY,3,0,0,0,ONE_WAY,EUR,462,6,13,3577.66,3863.87
MCT,MEL,2027-06-22,2027-07-17,GA,ECONOMY,1,0,0,1,ROUND_TRIP,AED,693,1,12,1858.92,505.63
MAA,SIN,2027-04-25,2027-05-14,WN,PREMIUM_ECONOMY,1,0,0,0,ROUND_TRIP,AED,523,7,15,1932.74,525.71
LHR,BOM,2027-04-17,2027-04-21,6E,ECONOMY,2,0,0,0,ROUND_TRIP,USD,416,12,18,3440.79,3440.79
DFW,DXB,2027-02-05,,KL,PREMIUM_ECONOMY,1,0,1,0,ONE_WAY,USD,125,13,15,484.92,484.92
DPS,DEL,2026-12-19,2027-01-17,QR,ECONOMY,2,0,0,2,ROUND_TRIP,INR,358,1,6,4867.06,58.4
BLR,AUH,2027-04-16,,IB,ECONOMY,2,0,0,1,ONE_WAY,USD,509,21,5,2680.2,2680.2
ICN,MCT,2027-05-23,2027-06-04,LX,PREMIUM_ECONOMY,3,0,0,0,ROUND_TRIP,AED,525,20,4,10221.76,2780.32
NRT,AMS,2026-11-26,,BA,PREMIUM_ECONOMY,3,1,0,0,ONE_WAY,USD,528,4,12,8182.15,8182.15
SYD,MCT,2026-10-11,2026-10-14,UK,ECONOMY,4,0,0,1,ROUND_TRIP,USD,528,15,23,2180.33,2180.33
HYD,MAD,2027-02-25,,WY,ECONOMY,1,1,0,0,ONE_WAY,SGD,470,12,19,429.8,318.05
KWI,BKK,2026-12-26,,UA,ECONOMY,1,0,0,2,ONE_WAY,EUR,797,18,7,666.66,719.99
BOM,LAX,2027-02-28,,GA,BUSINESS,2,1,0,0,ONE_WAY,EUR,128,23,1,8639.04,9330.16
AMS,CCU,2027-07-14,,QR,BUSINESS,1,0,0,0,ONE_WAY,EUR,241,19,23,7009.42,7570.17
ZRH,FRA,2027-03-11,,EK,ECONOMY,1,0,0,1,ONE_WAY,USD,746,1,13,651.15,651.15
CCU,MAD,2026-12-08,2026-12-31,WN,ECONOMY,1,1,0,1,ROUND_TRIP,EUR,610,5,15,3848.64,4156.53
LHR,PNQ,2026-12-24,2027-01-04,SQ,ECONOMY,2,0,0,0,ROUND_TRIP,AED,357,0,5,1926.49,524.01
LAX,SYD,2027-06-02,,MH,ECONOMY,2,0,0,0,ONE_WAY,USD,537,11,19,1958.44,1958.44
SIN,MAD,2027-01-11,2027-02-02,IX,ECONOMY,4,1,0,2,ROUND_TRIP,USD,626,0,10,1621.81,1621.81
ORD,HYD,2027-05-01,2027-05-29,GF,BUSINESS,2,1,0,1,ROUND_TRIP,USD,207,18,21,11133.34,11133.34
DPS,HYD,2027-04-28,,TG,PREMIUM_ECONOMY,1,0,1,0,ONE_WAY,AUD,190,18,21,1933.71,1256.91
SYD,SFO,2026-12-29,2027-01-07,UA,PREMIUM_ECONOMY,1,0,0,1,ROUND_TRIP,EUR,297,18,22,3712.68,4009.69
ORD,LHR,2027-05-27,2027-06-15,IB,ECONOMY,1,2,0,0,ROUND_TRIP,GBP,286,2,6,5479.38,6958.81
ORD,MNL,2027-03-10,2027-04-03,WN,ECONOMY,3,2,1,0,ROUND_TRIP,USD,279,18,22,7811.41,7811.41
MAD,LAX,2026-11-14,,BA,ECONOMY,1,0,0,0,ONE_WAY,EUR,87,14,15,1030.42,1112.85
DOH,PNQ,2027-08-02,2027-08-10,KL,ECONOMY,2,0,0,1,ROUND_TRIP,SGD,642,2,12,1528.67,1131.22
DFW,BKK,2027-06-21,2027-07-13,LH,ECONOMY,1,0,0,0,ROUND_TRIP,USD,337,3,8,1834.32,1834.32
HYD,CCU,2027-08-07,2027-08-14,GA,BUSINESS,2,1,0,1,ROUND_TRIP,AED,349,23,4,8939.72,2431.6
HKG,CCU,2027-06-11,2027-06-22,IX,BUSINESS,2,0,0,1,ROUND_TRIP,USD,700,3,14,13921.65,13921.65
FCO,HKG,2026-11-13,,BA,ECONOMY,2,2,0,0,ONE_WAY,EUR,659,4,14,5569.62,6015.19
MCT,BKK,2026-12-06,2026-12-14,AA,ECONOMY,1,0,0,1,ROUND_TRIP,USD,364,9,15,2997.69,2997.69
FRA,AMD,2027-05-17,,QR,PREMIUM_ECONOMY,3,1,0,2,ONE_WAY,USD,846,17,7,5872.14,5872.14
BOM,DFW,2027-08-10,2027-09-09,EY,ECONOMY,1,0,0,2,ROUND_TRIP,EUR,354,3,8,2190.52,2365.76
SIN,HKG,2026-12-05,,WY,ECONOMY,2,2,0,1,ONE_WAY,USD,508,23,7,3933.0,3933.0
AMS,CGK,2027-08-10,2027-09-07,SQ,PREMIUM_ECONOMY,2,1,0,0,ROUND_TRIP,USD,570,16,1,5438.19,5438.19
BAH,MEL,2026-12-04,2026-12-28,TG,BUSINESS,2,0,0,2,ROUND_TRIP,SGD,698,6,17,7950.6,5883.44
KWI,HKG,2027-04-22,2027-05-12,GF,ECONOMY,2,1,0,1,ROUND_TRIP,USD,258,19,23,1746.92,1746.92
KWI,HYD,2027-01-14,2027-02-12,KL,PREMIUM_ECONOMY,1,0,0,2,ROUND_TRIP,GBP,427,7,14,2839.15,3605.72
MIA,LAX,2027-01-27,,UA,ECONOMY,3,1,0,2,ONE_WAY,USD,828,7,20,1942.08,1942.08
SIN,PNQ,2027-04-21,,EK,ECONOMY,2,1,0,1,ONE_WAY,USD,550,19,4,2513.98,2513.98
AMS,NRT,2027-03-28,2027-04-13,EY,BUSINESS,2,0,0,0,ROUND_TRIP,USD,303,12,17,5811.12,5811.12
BLR,MAD,2026-11-27,,LX,PREMIUM_ECONOMY,1,0,0,0,ONE_WAY,INR,112,20,21,460.69,5.53
JFK,DXB,2027-05-24,2027-05-29,WN,ECONOMY,1,1,0,0,ROUND_TRIP,USD,142,20,22,3039.62,3039.62
NRT,MCT,2027-02-21,2027-03-06,LH,ECONOMY,1,1,0,0,ROUND_TRIP,INR,533,13,21,4293.22,51.52
DEL,BLR,2027-07-03,,AI,BUSINESS,2,0,0,0,ONE_WAY,EUR,175,22,0,4166.88,4500.23
HYD,MAD,2026-09-20,2026-10-09,GA,ECONOMY,1,1,0,0,ROUND_TRIP,GBP,470,23,6,802.8,1019.56
DEL,SYD,2027-03-19,,WN,BUSINESS,1,1,0,1,ONE_WAY,EUR,438,16,23,3029.84,3272.23
BOM,ZRH,2027-03-10,,WY,ECONOMY,2,0,0,0,ONE_WAY,SGD,605,17,3,1523.49,1127.38
ICN,HKG,2027-06-05,2027-06-08,QR,ECONOMY,4,1,0,1,ROUND_TRIP,INR,373,12,18,11229.52,134.75
LHR,KUL,2026-11-28,,LH,ECONOMY,1,0,0,1,ONE_WAY,USD,270,15,19,813.39,813.39
CGK,ICN,2026-09-01,2026-09-14,GA,BUSINESS,1,0,0,1,ROUND_TRIP,USD,416,22,4,3405.51,3405.51
SFO,DEL,2027-08-11,2027-08-29,WY,PREMIUM_ECONOMY,2,0,0,0,ROUND_TRIP,INR,82,16,17,7262.11,87.15
CCU,PNQ,2026-10-11,,KL,PREMIUM_ECONOMY,1,1,0,1,ONE_WAY,INR,490,1,9,2669.81,32.04
SIN,HKG,2027-01-11,,EK,PREMIUM_ECONOMY,3,0,0,0,ONE_WAY,USD,444,23,6,6451.34,6451.34
